cn_code,sector,tonnes_2022,eur_2022,tonnes_2023,eur_2023,tonnes_2024,eur_2024,avg_tonnes,avg_eur
7606,Aluminium,21765.057,168936684.0,25545.016,200633739.0,24548.139000000003,201033739.0,23952.737333333334,190201387.33333334
7607,Aluminium,2597.3450000000003,32793278.0,2033.069,31330460.0,2199.8990000000003,30510001.0,2276.771,31544579.666666668
7608,Aluminium,471.02799999999996,11206020.0,568.302,12130617.0,515.379,11486440.0,518.2363333333333,11607692.333333334
76090000,Aluminium,284.17199999999997,20820521.0,304.964,24743793.0,236.60999999999999,29279929.0,275.2486666666667,24948081.0
76101000,Aluminium,430.601,2704942.0,168.409,2805479.0,104.53599999999999,1907327.0,234.5153333333333,2472582.6666666665
76110000,Aluminium,44.363,1337778.0,245.092,7033615.0,49.671,1866201.0,113.04200000000002,3412531.3333333335
7612,Aluminium,1721.73,24663277.0,1186.9360000000001,23422525.0,1458.8600000000001,25257934.0,1455.8419999999999,24447912.0
76130000,Aluminium,285.698,22300503.0,270.812,23915202.0,425.53999999999996,32769796.0,327.34999999999997,26328500.333333332
7614,Aluminium,704.643,14628850.0,30.276999999999997,1285396.0,552.431,2699155.0,429.117,6204467.0
76161000,Aluminium,314.738,40098658.0,331.017,44468817.0,362.808,52145256.0,336.18766666666664,45570910.333333336
76169100,Aluminium,166.41199999999998,2509923.0,71.808,1635042.0,123.293,2215884.0,120.50433333333332,2120283.0
76169910,Aluminium,308.041,17322647.0,385.534,21640596.0,478.97799999999995,21410120.0,390.85099999999994,20124454.333333332
76169990,Aluminium,3236.597,162987086.0,3393.905,179468775.0,3154.754,176167525.0,3261.7520000000004,172874462.0
