period,flow,sector,hs6,primaryValue,quantity_kg
2019,Import,aluminum_76,761100,1648083,96247
2019,Import,aluminum_76,761210,8963628,670539
2019,Import,aluminum_76,761290,56912239,4942376
2019,Import,aluminum_76,761300,3174560,408379
2019,Import,aluminum_76,761410,17856,653
2019,Import,aluminum_76,761490,3717941,732726
2019,Import,aluminum_76,761610,21716358,694649
2019,Import,aluminum_76,761691,623441,35794
2019,Import,aluminum_76,761699,210363611,12099384
2019,Import,cement_2523,250700,5938144,13783374
2019,Import,cement_2523,252310,39785571,183960819
2019,Import,cement_2523,252321,34354621,379062920
2019,Import,cement_2523,252329,108172035,2295052365
2019,Import,cement_2523,252330,18695136,30806535
2019,Import,cement_2523,252390,2053585,19415172
2019,Import,fertilizers,280800,365927,263979
2019,Import,fertilizers,281420,1376702,191800
2019,Import,fertilizers,283421,4553955,14953971
2019,Import,fertilizers,310210,41168510,208535655
2019,Import,fertilizers,310221,32600231,150962170
2019,Import,fertilizers,310229,536950,122054
2019,Import,fertilizers,310230,788738,681622
2019,Import,fertilizers,310240,6594069,33036394
2019,Import,fertilizers,310250,3637561,5004827
2019,Import,fertilizers,310260,302063,13206
2019,Import,fertilizers,310280,9399448,52159834
2019,Import,fertilizers,310290,25732766,88473729
2019,Import,fertilizers,310510,7977069,2848989
2019,Import,fertilizers,310520,18220708,32776261
2019,Import,fertilizers,310530,5029089,4047189
2019,Import,fertilizers,310540,4417773,13774890
2019,Import,fertilizers,310551,169964,334768
2019,Import,fertilizers,310559,8584559,21292899
2019,Import,fertilizers,310590,20674149,24612998
2019,Import,hydrogen_2804,280410,95973,336
2019,Import,iron_steel_72,720110,19787982,57346327
2019,Import,iron_steel_72,720150,196611,172603
2019,Import,iron_steel_72,720211,4423330,4000120
2019,Import,iron_steel_72,720241,47559066,39026940
2019,Import,iron_steel_72,720260,1411353,491360
2019,Import,iron_steel_72,720310,244753,399780
2019,Import,iron_steel_72,720390,869763,1097405
2019,Import,iron_steel_72,720510,7354943,1845349
2019,Import,iron_steel_72,720521,35209067,26812647
2019,Import,iron_steel_72,720529,23415536,8495695
2019,Import,iron_steel_72,720610,2376,1570
2019,Import,iron_steel_72,720810,11995774,17036064
2019,Import,iron_steel_72,720825,4597294,7252064
2019,Import,iron_steel_72,720826,9193212,16160238
2019,Import,iron_steel_72,720827,23861081,37206631
2019,Import,iron_steel_72,720836,4058564,6988881
2019,Import,iron_steel_72,720837,5780277,10354646
2019,Import,iron_steel_72,720838,3367859,5703851
2019,Import,iron_steel_72,720839,30497339,60113246
2019,Import,iron_steel_72,720840,707179,599773
2019,Import,iron_steel_72,720851,20277369,24864835
2019,Import,iron_steel_72,720852,1586252,1984057
2019,Import,iron_steel_72,720853,604024,427961
2019,Import,iron_steel_72,720854,28820,17565
2019,Import,iron_steel_72,720890,34791,8466
2019,Import,iron_steel_72,720915,736449,769118
2019,Import,iron_steel_72,720916,32981319,48576400
2019,Import,iron_steel_72,720917,9982703,15868360
2019,Import,iron_steel_72,720918,4643385,4963183
2019,Import,iron_steel_72,720925,230511,99577
2019,Import,iron_steel_72,720926,131328,131923
2019,Import,iron_steel_72,720927,93430,194556
2019,Import,iron_steel_72,720928,27722,49132
2019,Import,iron_steel_72,720990,236533,267784
2019,Import,iron_steel_72,721011,1052276,1105589
2019,Import,iron_steel_72,721012,381817214,381823826
2019,Import,iron_steel_72,721030,1530819,507026
2019,Import,iron_steel_72,721041,2094,1692
2019,Import,iron_steel_72,721049,50909058,63046821
2019,Import,iron_steel_72,721050,24742262,25452093
2019,Import,iron_steel_72,721061,2568306,3058396
2019,Import,iron_steel_72,721069,1807700,2050536
2019,Import,iron_steel_72,721070,13754506,7636465
2019,Import,iron_steel_72,721090,395698,282333
2019,Import,iron_steel_72,721113,2945,2682
2019,Import,iron_steel_72,721210,2872974,1906021
2019,Import,iron_steel_72,721220,6680511,4965147
2019,Import,iron_steel_72,721230,14467603,18345567
2019,Import,iron_steel_72,721240,16540469,8922179
2019,Import,iron_steel_72,721250,4953863,2139387
2019,Import,iron_steel_72,721260,5204193,1040376
2019,Import,iron_steel_72,721310,16176796,32344980
2019,Import,iron_steel_72,721320,46794712,58420823
2019,Import,iron_steel_72,721391,57115647,87083876
2019,Import,iron_steel_72,721399,7935714,9120450
2019,Import,iron_steel_72,721420,231373996,457195934
