typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,sector
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,562,NER,Niger,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,3253.0,3253.0,0,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,90,SLB,Solomon Isds,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,310500.0,310500.0,0,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,788,TUN,Tunisia,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,231247.0,231247.0,0,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,858,URY,Uruguay,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,183694.0,183694.0,0,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,148,TCD,Chad,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,14469.0,14469.0,0,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,887,YEM,Yemen,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,6380.0,6380.0,0,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,262,DJI,Djibouti,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,72954.0,72954.0,0,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,64,BTN,Bhutan,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,32032.0,32032.0,0,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,60,BMU,Bermuda,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,3214289.0,3214289.0,0,False,True,iron_steel
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,92,VGB,Br. Virgin Isds,0,W00,World,H5,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,2498637.0,2498637.0,0,False,True,iron_steel
